"asa_code","regex"
"106012","106012:\s*(?<action>\S+)\s+IP\s+from\s+(?:(?<src_ip>(?:[\d+.]+,[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*)),(?<src_host>\S+))\s+to\s+(?:(?<dest_ip>(?:[\d+.]+,[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*)),(?<dest_host>\S+))\s*,\s*IP\s+options\s*\:?\s+(?:hex\.?,['""](?<ip_options>[^""]+)['""])"
"106023","106023:\s*(?<action>\S+)\s+(?<transport>\S+)\s+src(?:\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>[^\s\/\(]+))(?:\s*\/\s*(?<src_port>\d{1,5}))?)?(?:\s*\(\s*(?:(?:(?<src_nt_domain>[\S^\\]+)\\)?(?<src_user>[\w\-_]+)\s*,)?\s*(?<src_sg_info>[^\)\s]+)\s*\))?\s+dst\s+(?<dest_interface>[^:\s]+)\s*:\s*(?:(?<dest_ip>(?:[\d+\.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>[^\s\/\(]+))(?:\s*\/\s*(?<dest_port>\d+))?(?:\s*\(\s*(?:(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*,)?\s*(?<dest_sg_info>[^\)\s]+)\s*\))?(?:(?:\s+|\s*\(\s*)type\s+(?<icmp_type>\d+)\s*,\s*code\s*(?<icmp_code>\d+)\s*\)?)?\s+by\s+(?<access_group>\S+)\s+(?:\'\s*|\""\s*)?(?<rule_id>[^\""\s]+)(?:\s*\'|\s*\"")?\s+(?<hash_codes>[^\]]+\])"
"106100","10610[03]:\s*access-list\s+(?<rule_id>\S+)\s*(?<action>\S+)?\s+(?<transport>\S+)\s+(for\s+user\s+['""]?(?<user>[^\s'""]+)['""]?\s+)?(?<src_interface>[^\/\s]+)\s*\/\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>[^\(\s]+))\s*\(?\s*(?<src_port>\d{1,5})\s*\)?\s*(?:\(\s*(?:(?<src_nt_domain>[\S^\\]+)\\)?(?<src_user>[\w\-_]+)\s*,\s*(?<src_sg_info>[^\)\s]+)\s*\))?\s*(?:\-\>)?\s*(?<dest_interface>[^\/\s]+)\s*\/\s*(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>[^\(\s]+))\s*\(?\s*(?<dest_port>\d{1,5})\s*\)?(?:\s*\(\s*(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*,\s*(?<dest_sg_info>[^\)\s]+)\s*\))?\s+hit-cnt\s+(?<hit_cnt>\d+)\s*\(?\s*(?:first\s+hit|(?<hit_cnt_interval>\d+)\s*-second\s+interval)\s*\)?\s+(?<hash_codes>[^]]+])"
"106103","10610[03]:\s*access-list\s+(?<rule_id>\S+)\s*(?<action>\S+)?\s+(?<transport>\S+)\s+(for\s+user\s+['""]?(?<user>[^\s'""]+)['""]?\s+)?(?<src_interface>[^\/\s]+)\s*\/\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>[^\(\s]+))\s*\(?\s*(?<src_port>\d{1,5})\s*\)?\s*(?:\(\s*(?:(?<src_nt_domain>[\S^\\]+)\\)?(?<src_user>[\w\-_]+)\s*,\s*(?<src_sg_info>[^\)\s]+)\s*\))?\s*(?:\-\>)?\s*(?<dest_interface>[^\/\s]+)\s*\/\s*(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>[^\(\s]+))\s*\(?\s*(?<dest_port>\d{1,5})\s*\)?(?:\s*\(\s*(?:(?<dest_nt_domain>[\S^\\]+)\\)?(?<dest_user>[\w\-_]+)\s*,\s*(?<dest_sg_info>[^\)\s]+)\s*\))?\s+hit-cnt\s+(?<hit_cnt>\d+)\s*\(?\s*(?:first\s+hit|(?<hit_cnt_interval>\d+)\s*-second\s+interval)\s*\)?\s+(?<hash_codes>[^\]]+])"
"113003","113003:\s*AAA\s+group\s+policy\s+for\s+user\s+(?<user>\S+)\s+is\s+being\s+(?<action>\S+)\s+to\s+(?<object>.+?)[\.\s]*$"
"113004","11300[45]:\s*AAA\s+user\s+(?:authentication|(?<signature>\S+))\s+(?<action>\S+)\s*:(?:\s*reason\s*=\s*(?<reason>.*[^:\s])\s*:)?\s*server\s*=\s*(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*[:,]\s*[uU]ser\s*=\s*(?<user>[^:\s]+)(?:\s*:\s*user\s+IP\s*=\s*(?<src_ip>\S+))?"
"113008","113008:\s*AAA.*user = (?<user>\S+)"
"113009","113009:\s*AAA.*group policy (?<group_policy>.*) for user = (?<user>\S+)"
"113011","113011:\s*AAA.*group policy (?<group_policy>.*) for user = (?<user>\S+)"
"113012","113012:\s*AAA.*for user = (?<user>\S+)"
